input_size,divide_and_conquer,brute_force
3760,0.000119471,0.005491308
3765,0.000119634,0.005506983
3770,0.000120031,0.005701595
3775,0.000119667,0.005690806
3780,0.000120677,0.005706684
3785,0.000119919,0.005683632
3790,0.000120417,0.005587415
3795,0.000120541,0.005597461
3800,0.000120790,0.005611080
3805,0.000120777,0.005693639
3810,0.000121103,0.005637985
3815,0.000121185,0.005652397
3820,0.000123108,0.005664704
3825,0.000121410,0.005681958
3830,0.000121970,0.005721162
3835,0.000121421,0.005709841
3840,0.000120866,0.005730901
3845,0.000121509,0.005739370
3850,0.000121527,0.005755724
3855,0.000123887,0.005768281
3860,0.000123167,0.005784115
3865,0.000123012,0.005800852
3870,0.000122976,0.005816725
3875,0.000123367,0.005840213
3880,0.000124251,0.005845816
3885,0.000122968,0.006326560
3890,0.000123889,0.005980289
3895,0.000123919,0.005943112
3900,0.000124205,0.005904214
3905,0.000123843,0.005921195
3910,0.000124224,0.005964588
3915,0.000124899,0.005951470
3920,0.000124402,0.005997188
3925,0.000124908,0.005982884
3930,0.000126047,0.005996691
3935,0.000124683,0.006010271
3940,0.000124925,0.006033954
3945,0.000125181,0.006040657
3950,0.000124893,0.006058625
3955,0.000125035,0.006073177
3960,0.000126654,0.006094601
3965,0.000124777,0.006108946
3970,0.000125237,0.006117273
3975,0.000125579,0.006162013
3980,0.000125909,0.006311691
3985,0.000125900,0.006188456
3990,0.000126367,0.006181490
3995,0.000126045,0.006222389
4000,0.000126208,0.006213643
4005,0.000127444,0.006230074
4010,0.000126468,0.006240495
4015,0.000127290,0.006258841
4020,0.000126813,0.006271552
4025,0.000127228,0.006287305
4030,0.000127416,0.006307252
4035,0.000126874,0.006318209
4040,0.000127556,0.006347976
4045,0.000127679,0.006349558
4050,0.000127854,0.006366077
4055,0.000128068,0.006385234
4060,0.000127310,0.006397364
4065,0.000128181,0.006414029
4070,0.000129013,0.006427968
4075,0.000128428,0.006446684
4080,0.000127540,0.006467018
4085,0.000128163,0.006476258
4090,0.000127989,0.006492797
4095,0.000129438,0.006506835
4100,0.000128536,0.006525323
4105,0.000128945,0.006541164
4110,0.000129860,0.006559618
4115,0.000129484,0.006582603
4120,0.000129864,0.006587427
4125,0.000129785,0.006604072
4130,0.000132031,0.006621279
4135,0.000131867,0.006636960
4140,0.000131461,0.006650907
4145,0.000131332,0.006668969
4150,0.000131709,0.006682087
4155,0.000133657,0.006700676
4160,0.000132162,0.006750201
4165,0.000133354,0.006731217
4170,0.000133355,0.006936620
4175,0.000133883,0.006766456
4180,0.000134809,0.006781439
4185,0.000133901,0.006795758
4190,0.000134206,0.006821943
4195,0.000135761,0.006828218
4200,0.000135350,0.006847339
4205,0.000135461,0.006888084
4210,0.000135330,0.006881198
4215,0.000135378,0.006895279
4220,0.000135429,0.006909555
4225,0.000135202,0.006930608
4230,0.000136367,0.006942108
4235,0.000136100,0.006986565
4240,0.000137794,0.006975037
4245,0.000136799,0.006995698
4250,0.000136290,0.007007867
4255,0.000136750,0.007024348
4260,0.000137059,0.007042629
4265,0.000138297,0.007066039
4270,0.000138615,0.007077729
4275,0.000139148,0.007090339
4280,0.000137942,0.007108374
4285,0.000138666,0.007124012
4290,0.000138941,0.007141442
4295,0.000137891,0.007184722
4300,0.000139073,0.007175646
4305,0.000139166,0.007215861
4310,0.000139174,0.007208049
4315,0.000139039,0.007226109
4320,0.000139309,0.007241380
4325,0.000140136,0.007256190
4330,0.000140733,0.007283824
4335,0.000139926,0.007316345
4340,0.000141289,0.007368006
4345,0.000139099,0.007450319
4350,0.000139366,0.007340079
4355,0.000140140,0.007359430
4360,0.000140123,0.007376230
4365,0.000141281,0.007393156
4370,0.000141643,0.007412656
4375,0.000141413,0.007453066
4380,0.000141444,0.007447816
4385,0.000144022,0.007460006
4390,0.000142157,0.007475970
4395,0.000142595,0.007493939
4400,0.000143649,0.007522413
4405,0.000143453,0.007528863
4410,0.000143947,0.007543083
4415,0.000144792,0.007562000
4420,0.000143767,0.007582358
4425,0.000144249,0.007599310
4430,0.000144599,0.007611445
4435,0.000145834,0.007656462
4440,0.000144820,0.007672639
4445,0.000144620,0.007667841
4450,0.000145674,0.007680847
4455,0.000144817,0.007699944
4460,0.000145411,0.007745389
4465,0.000145376,0.007746924
4470,0.000145972,0.007749089
4475,0.000147588,0.007768101
4480,0.000145909,0.007783677
4485,0.000145457,0.007805471
4490,0.000145618,0.007819006
4495,0.000145414,0.007838118
4500,0.000146151,0.007857963
4505,0.000146325,0.008087356
4510,0.000145725,0.007888772
4515,0.000145672,0.007908109
4520,0.000146990,0.007923726
4525,0.000145988,0.007945322
4530,0.000145785,0.007966845
4535,0.000146325,0.007978119
4540,0.000146452,0.008210318
4545,0.000147575,0.008013865
4550,0.000147106,0.008037442
4555,0.000146966,0.008046268
4560,0.000146993,0.008067568
4565,0.000148604,0.008083847
4570,0.000146930,0.008126941
4575,0.000147085,0.008116886
4580,0.000146711,0.008137358
4585,0.000147403,0.008492625
4590,0.000147479,0.008187850
4595,0.000147781,0.008187835
4600,0.000146383,0.008207342
