input_size,divide_and_conquer,brute_force
20070,0.000705809,0.155896165
20100,0.000707146,0.157600447
20130,0.000707319,0.156631120
20160,0.000707025,0.157542244
20190,0.000705224,0.157803309
20220,0.000706650,0.158219744
20250,0.000709401,0.158819573
20280,0.000710875,0.159372441
20310,0.000710961,0.159667242
20340,0.000709478,0.160507119
20370,0.000712417,0.160362254
20400,0.000708897,0.161168563
20430,0.000712108,0.161577481
20460,0.000711024,0.161782558
20490,0.000713174,0.162443936
20520,0.000715821,0.163232273
20550,0.000719822,0.163239080
20580,0.000721794,0.163910780
20610,0.000722298,0.164617147
20640,0.000724995,0.164672690
20670,0.000725308,0.165307749
20700,0.000726270,0.165874743
20730,0.000730034,0.166085109
20760,0.000731395,0.167072734
20790,0.000877207,0.167355280
20820,0.000734146,0.167531707
20850,0.000755029,0.168266826
20880,0.000737516,0.168721189
20910,0.000738743,0.168957028
20940,0.000739546,0.170512417
20970,0.000742820,0.170390272
21000,0.000743178,0.171181744
21030,0.000746179,0.171130562
21060,0.000743841,0.171567361
21090,0.000748656,0.172068600
21120,0.000748259,0.172582987
21150,0.000776988,0.173556505
21180,0.000750100,0.173917613
21210,0.000752595,0.173952598
21240,0.000750778,0.174596207
21270,0.000753895,0.175088664
21300,0.000756807,0.175572725
21330,0.000759529,0.176470426
21360,0.000758053,0.176656532
21390,0.000757501,0.177190217
21420,0.000761034,0.177363925
21450,0.000759896,0.178188266
21480,0.000785682,0.178608059
21510,0.000759115,0.178822070
21540,0.000763006,0.180193660
21570,0.000770634,0.180101653
21600,0.000767690,0.180543000
21630,0.000769443,0.181083298
21660,0.000772577,0.181630694
21690,0.000774167,0.182775556
21720,0.000773834,0.182599307
21750,0.000775757,0.182870724
21780,0.000775918,0.183777176
21810,0.000781005,0.184192314
21840,0.000776389,0.185425437
21870,0.000805854,0.185023539
21900,0.000779252,0.185943358
21930,0.000782823,0.186125139
21960,0.000781342,0.186834510
21990,0.000784264,0.186894736
22020,0.000782779,0.188142797
22050,0.000785705,0.188452573
22080,0.000784073,0.189121282
22110,0.000786386,0.189269595
22140,0.000787386,0.189714679
22170,0.000788727,0.190179745
22200,0.000786987,0.190804137
22230,0.000797022,0.191019880
22260,0.000789517,0.191848132
22290,0.000791753,0.192791790
22320,0.000791051,0.192995518
22350,0.000791046,0.193175614
22380,0.000815268,0.193952804
22410,0.000791990,0.194875324
22440,0.000818754,0.195393997
22470,0.000793204,0.195306132
22500,0.000792123,0.196242818
22530,0.000791801,0.196615222
22560,0.000795133,0.197173975
22590,0.000796434,0.197860118
22620,0.000798886,0.199052950
22650,0.000805422,0.198370128
22680,0.000803188,0.199217664
22710,0.000803219,0.199695907
22740,0.000807602,0.200971185
22770,0.000808276,0.200772689
22800,0.000810663,0.201218997
22830,0.000812425,0.202007684
22860,0.000811905,0.203087268
22890,0.000812075,0.202790397
22920,0.000813523,0.203375276
22950,0.000814486,0.204026521
22980,0.000813183,0.204225822
23010,0.000816956,0.205030184
23040,0.000815711,0.205334036
23070,0.000817821,0.206080035
23100,0.000820928,0.206617947
23130,0.000821610,0.207015586
23160,0.000847194,0.207735768
23190,0.000825583,0.208846657
23220,0.000829504,0.208689660
23250,0.000825456,0.209187777
23280,0.000826821,0.209771729
23310,0.000827589,0.210696646
23340,0.000825273,0.211230414
23370,0.000832345,0.211281603
23400,0.000829328,0.211808657
23430,0.000828753,0.212313931
23460,0.000830792,0.213516922
23490,0.000831263,0.214269304
23520,0.000833286,0.214099625
23550,0.000832227,0.214416576
23580,0.000829957,0.215324575
23610,0.000835367,0.215626901
23640,0.000840246,0.216805231
23670,0.000841694,0.216822896
23700,0.000840779,0.217337726
23730,0.000840111,0.217962869
23760,0.000841010,0.218452757
23790,0.000843946,0.218714494
23820,0.000842426,0.219996774
23850,0.000844723,0.220221770
23880,0.000842569,0.220577752
23910,0.000843928,0.221095943
23940,0.000845829,0.222083640
23970,0.000848030,0.222264053
24000,0.000847301,0.222928184
24030,0.000848575,0.224461127
24060,0.000851679,0.223745122
24090,0.000848151,0.224509562
24120,0.000848634,0.225717030
24150,0.000850815,0.225909603
24180,0.000853123,0.226110652
24210,0.000856300,0.226717850
24240,0.000853778,0.227280432
24270,0.000854129,0.228439269
24300,0.000856065,0.230560652
24330,0.000856447,0.229185557
24360,0.000855915,0.229491294
24390,0.000857304,0.230803295
24420,0.000857046,0.230644512
24450,0.000884856,0.231067234
24480,0.000858684,0.231858419
24510,0.000857112,0.232836483
24540,0.000859309,0.233087695
24570,0.000857663,0.234103785
24600,0.000863200,0.234085140
24630,0.000865081,0.234967517
24660,0.000867123,0.235282248
24690,0.000868248,0.237031573
24720,0.000873321,0.236385277
24750,0.000873823,0.237071151
24780,0.000878044,0.237838109
24810,0.000880904,0.238322800
24840,0.000882240,0.239290373
24870,0.000885085,0.239289580
24900,0.000886082,0.239992669
24930,0.000886230,0.240377940
24960,0.000891397,0.241424013
24990,0.000891936,0.241589102
25020,0.000892017,0.242332618
25050,0.000891713,0.242991522
25080,0.000898504,0.243334379
25110,0.000896426,0.243988822
25140,0.000926321,0.244863927
25170,0.000925482,0.244936369
25200,0.000900349,0.245663810
25230,0.000903945,0.246221370
25260,0.000905490,0.247433012
25290,0.000906747,0.248188953
25320,0.000910605,0.247967162
25350,0.000908861,0.248549536
25380,0.000911588,0.249540859
25410,0.000909021,0.250157072
25440,0.000912742,0.250251405
25470,0.000913213,0.250947176
25500,0.000915222,0.251791920
25530,0.000989254,0.252577413
25560,0.000941516,0.252747880
25590,0.000917090,0.253445450
25620,0.000919975,0.254356341
25650,0.000925390,0.254967132
25680,0.000924601,0.255010680
25710,0.000927146,0.255675527
25740,0.000925234,0.256524645
25770,0.000928821,0.256851601
25800,0.000928605,0.257898283
25830,0.000932631,0.259045006
25860,0.000933226,0.259067414
25890,0.000934459,0.260204751
25920,0.000938694,0.260273560
25950,0.000937680,0.260559479
25980,0.000943340,0.261326149
26010,0.000941950,0.262056072
26040,0.000942255,0.262287496
26070,0.000943757,0.263431511
26100,0.000941104,0.281483260
26130,0.000973132,0.264082330
26160,0.000943867,0.264687687
26190,0.000944618,0.265928144
26220,0.000945108,0.265950000
26250,0.000948264,0.266507398
26280,0.000951394,0.267097166
26310,0.000946931,0.268533921
26340,0.000946289,0.268548530
26370,0.000947442,0.268886029
26400,0.000948771,0.269699105
26430,0.000951212,0.270979719
26460,0.000951539,0.270996106
26490,0.000953138,0.271822748
26520,0.000952056,0.272285358
26550,0.000950148,0.272671826
26580,0.000979376,0.273655946
26610,0.000952303,0.273977324
26640,0.000952962,0.274552468
26670,0.000957736,0.275208691
26700,0.000958154,0.275850324
26730,0.000959822,0.276871217
26760,0.000963539,0.277163521
26790,0.001032403,0.277737737
26820,0.000964737,0.278499137
26850,0.000964183,0.278935820
26880,0.000979243,0.279965828
26910,0.000971416,0.280053911
26940,0.000974192,0.281011321
26970,0.000975051,0.282628011
27000,0.000976488,0.282161290
27030,0.001000080,0.282640552
27060,0.000972752,0.283849683
